id,title,year,ISBN,age_limit,price,count,description,author_id,img_path
48,Разум и чувства,1811,978-5-17-118405-6,2,585,52,"Элинор Дэшвуд верит, что даже от любви не стоит терять голову - ведь здравый смысл помогает добиться счастья. Ее сестра Марианна убеждена, что искренние чувства не нужно заглушать голосом рассудка. Обеим героиням предстоит проверить свои убеждения на практике, когда в дело вмешается любовь. Пройти весь путь к счастливому финалу вместе с сестрами Дэшвуд вам помогут небольшой словарь в конце книги и множество постраничных сносок-комментариев на русском языке - для тех, кто хочет лучше понимать прочитанное. Информация о трудных словах, нравах и реалиях описываемой эпохи, быте, традициях и мировоззрении персонажей, об истории, географии, культуре позволит лучше понять перипетии сюжета и чувства героев произведения.",22,/bookshop/img/products/razum-i-chuvstva.jpg
49,Моби Дик,1851,978-5-17-118406-3,3,180,46,"В центре романа Мелвилла «Моби Дик, или Белый кит» – смертельное противостояние отважного капитана китобойного судна Ахава и гигантского белого кита, олицетворяющего мировое зло. На фоне эпических морских пейзажей экипаж «Пекода» воспринимается как символ человечества, блуждающего по океану жизни и бесстрашно бросающего вызов враждебным разрушительным силам.",23,/bookshop/img/products/moby-dik.jpg
50,Приключения Гекльберри Финна,1884,978-5-17-118407-0,2,189,16,"Роман ""Приключения Гекльберри Финна"" впервые был опубликован в 1884 году. За тонкую иронию, юмор и освещение острых социальных тем роман о Гекльберри Финне до сих пор пользуется большим успехом у читателей. Это история о бесстрашном Гек Финне и его чернокожем друге Джиме, которые, сплавляясь на плоту, переживают невероятные приключения, встречаются с разбойниками и находят выход из самых трудных ситуаций.",24,/bookshop/img/products/priklyucheniya-geklberri-finna.jpg
51,Приключения Тома Сойера,1876,978-5-17-118408-7,2,850,77,"Прототипом главного героя повести Марка Твена ""Приключения Тома Сойера"" стали сразу три человека — друзья детства писателя. Наверное, поэтому Том Сойер получился таким живым, а его приключения — такими настоящими. Какой мальчишка не мечтал отыскать клад и не пытался отправиться в далёкое путешествие?! История Тома Сойера — это не только шалости и проделки, но и настоящая дружба, отвага и сложный моральный выбор. Для среднего школьного возраста.",24,/bookshop/img/products/priklyucheniya-toma-soiera.jpg
52,Маленькие женщины,1868,978-5-17-118409-4,2,241,5,"«Маленькие женщины» — первая книга тетралогии Луизы Мэй Олкотт о сёстрах, выросших в тяжелые для Америки времена.",25,/bookshop/img/products/malenkiye-zhenshchiny.jpg
53,Великий Гэтсби,1925,978-5-17-118410-0,3,927,16,"«Бурные» двадцатые годы прошлого столетия… Время шикарных вечеринок, «сухого закона» и «легких» денег… Эти «новые американцы» уверены, что расцвет будет вечным, что достигнув вершин власти и богатства, они обретут и личное счастье… Таким был и Джей Гэтсби, ставший жертвой бессмысленной погони за пленительной мечтой об истинной и вечной любви, которой не суждено было сбыться.",26,/bookshop/img/products/velikii-getcbi.jpg
54,По ком звонит колокол,1940,978-5-17-118411-7,3,358,97,"«По ком звонит колокол» — один из лучших романов Эрнеста Хемингуэя.
Эта книга о гражданской войне в Испании.
Эта книга о Войне, какая она есть на самом деле — грязная, кровавая, бесчеловечная…
Эта книга о любви, мужестве, самопожертвовании, нравственном долге и выборе, ценности каждой человеческой жизни как части единого целого, ибо «никогда не посылай узнать по ком звонит колокол, он звонит и по тебе».",27,/bookshop/img/products/po-kom-zvonit-kolokol.jpg
55,Старик и море,1952,978-5-17-118412-4,2,156,54,"«Старик и море». Повесть посвящена «трагическому стоицизму»: перед жестокостью мира человек, даже проигрывая, должен сохранять мужество и достоинство.",27,/bookshop/img/products/starik-i-more.jpg
56,"Прощай, оружие!",1929,978-5-17-118413-1,3,902,34,"Роман, прославивший Эрнеста Хемингуэя...
Первая - и лучшая! - книга ""потерянного поколения"" англоязычной литературы о Первой мировой...
Книга о войне, на которой наивные мальчишки становились ""пушечным мясом"" - и либо гибли, либо ожесточались до предела.
О войне, где любовь - лишь краткий миг покоя, не имеющий ни прошлого, ни будущего.",27,/bookshop/img/products/proshchai-oruzhie.jpg
57,На западном фронте без перемен,1929,978-5-17-118414-8,3,757,89,"Говоря о Первой мировой войне, всегда вспоминают одно произведение Эриха Марии Ремарка.
«На Западном фронте без перемен».
Это рассказ о немецких мальчишках, которые под действием патриотической пропаганды идут на войну, не зная о том, что впереди их ждет не слава героев, а инвалидность и смерть…
Каждый день войны уносит жизни чьих-то отцов, сыновей, а газеты тем временем бесстрастно сообщают: ""На Западном фронте без перемен..."".
Эта книга — не обвинение, не исповедь.
Это попытка рассказать о поколении, которое погубила война, о тех, кто стал ее жертвой, даже если сумел спастись от снарядов и укрыться от пули.",28,/bookshop/img/products/na-zapadnom-fronte-bez-peremen.jpg
58,Три товарища,1936,978-5-17-118415-5,3,779,50,"Самый красивый в двадцатом столетии роман о любви...
Самый увлекательный в двадцатом столетии роман о дружбе...
Самый трагический и пронзительный роман о человеческих отношениях за всю историю двадцатого столетия.",28,/bookshop/img/products/tri-tovarishcha.jpg
59,Время жить и время умирать,1954,978-5-17-118416-2,3,260,37,"Война. Страшная и ненавистная.
Эрнст Гребер — рядовой немецкий солдат — впервые после двух лет войны на три недели отправляется в отпуск.
Три бесценные недели — времени жить!..
Он уезжает, чтобы вновь оказаться на войне — в городе, где бесконечные бомбежки… В городе, где жители боятся лишний раз вздохнуть, где никому и никогда нельзя доверить свои мысли и чувства, иначе — расстрел…
Но эти три недели, словно целая жизнь, в которой Эрнст становится совсем другим человеком, нашедшим любовь, счастье и недолгое успокоение… Чтобы, вернувшись на фронт идти к другому времени — времени умирать.",28,/bookshop/img/products/vremya-zhit-i-vremya-umirat.jpg
60,1984,1949,978-5-17-118417-9,3,922,28,"Культовый роман Джорджа Оруэлла, одна из главных антиутопий XX века.
Жуткий и пугающий текст, и 70 лет спустя не утративший актуальности.",29,/bookshop/img/products/1984.jpg
61,Скотный двор,1945,978-5-17-118418-6,2,979,10,"Что привлекает читателя в художественной и публицистической прозе этого запретного в тоталитарных странах автора?
В первую очередь – острейшие проблемы политической и культурной жизни 40-х годов XX века, которые и сегодня продолжают оставаться актуальными. А также объективность в оценке событий и яркая авторская индивидуальность, помноженные на истинное литературное мастерство.",29,/bookshop/img/products/skotnyi-dvor.jpg
62,Убить пересмешника,1960,978-5-17-118419-3,3,551,50,"История маленького сонного городка на юге Америки, поведанная маленькой девочкой.
История ее брата Джима, друга Дилла и ее отца – честного, принципиального адвоката Аттикуса Финча, одного из последних и лучших представителей старой «южной аристократии».
История судебного процесса по делу чернокожего парня, обвиненного в насилии над белой девушкой.
Но прежде всего – история переломной эпохи, когда ксенофобия, расизм, нетерпимость и ханжество, присущие американскому югу, постепенно уходят в прошлое.
«Ветер перемен» только-только повеял над Америкой. Что он принесет?",30,/bookshop/img/products/ubiyt-peresmeshnika.jpg
63,Над пропастью во ржи,1951,978-5-17-118420-9,4,345,71,"Мальчика зовут Холден Колфилд, и живет он в повести «Над пропастью во ржи», до сих пор боготворимой миллионами «непонятых» подростков. Холден наделен «абсолютным нравственным слухом» — он мгновенно различает фальшь, с него словно содрана кожа, обнажены нервные окончания, его сверхчувствительность — особого рода радар, улавливающий то, мимо чего спокойно проходят другие. Но он не ангел и не «дитя цветов», а трудный подросток во всей красе: со своими переживаниями, волнениями и талантами, но и со всеми «тараканами» тоже. Но у Холдена есть еще и странная, но очень трогательная мечта.",31,/bookshop/img/products/nad-propastyu-vo-rzhi.jpg
64,"Поймай меня, если сможешь",1980,978-5-17-118421-6,4,756,58,"Фрэнк Абигнейл - самый дерзкий и неуловимый мошенник за всю историю преступлений.
5 лет он был врагом №1 для ФБР.
За ним охотились полицейские 50 штатов Америки и 26 европейских стран.
Он перевоплощался в пилота, врача, профессора социологии, помощника прокурора и даже агента ФБР!
Абигнейл заработал 2,5 миллиона долларов на фальшивых чеках.
И все это до того, как ему исполнился 21 год!",32,/bookshop/img/products/poimai-menya-esli-smozesh.jpg
65,Цветы для Элджернона,1966,978-5-17-118422-3,3,252,57,"Гении и идиоты — две стороны одной медали. У них разные IQ, отличаются условия жизни, но они похожи в одном — часто и те, и другие бесконечно одиноки. А цена за мечту — стать умным — становится слишком высокой.
У Чарли есть двойник — мышонок Элджернон, только Чарли понимает поведение мышонка и то, что ему самому отведена та же роль подопытной мыши, не больше.",33,/bookshop/img/products/tsvety-dlya-eldzhernona.jpg
66,Алхимик,1988,978-5-17-118423-0,3,644,88,"Алхимик» – самый известный роман бразильского писателя Пауло Коэльо, любимая книга миллионов людей во всем мире. В юности люди не боятся мечтать, все кажется им возможным. Но проходит время, и таинственная сила принимается им внушать, что их желания неосуществимы.
«Добиться воплощения своей Судьбы – вот единственная подлинная обязанность человека…», – утверждает Пауло Коэльо.",34,/bookshop/img/products/alkhimik.jpg
67,Вероника решает умереть,1998,978-5-17-110487-0,3,308,64,"У Вероники есть все: молодость и красота, поклонники и достойная работа. Но в ее жизни чего-то не хватает. И одним ноябрьским утром она решает принять такую дозу снотворного, чтобы никогда больше не проснуться. Вероника приходит в себя в психиатрической клинике.",34,/bookshop/img/products/veronika-reshaet-umeret.jpg
68,Одиннадцать минут,2003,978-5-17-110488-7,3,208,21,"Это роман о любви, о сексе, о том, как два тела учатся разговаривать друг с другом на языке страсти.
Мария, девушка из бразильского захолустья, поддав­шись на уговоры вербовшика, едет работать в Швейца­рию — танцовщицей в закрытом клубе. Однако действи­тельность далека от обещаний, и Мария становится про­ституткой. Но на этом пути ее ждет встреча, которая изме­нит ее саму и ее жизнь.",34,/bookshop/img/products/odinnadcat-minut.jpg
69,Сто лет одиночества,1967,978-5-17-110489-4,3,1000,43,"Странная, поэтичная, причудливая история города Макондо, затерянного где-то в джунглях, – от сотворения до упадка.
История рода Буэндиа – семьи, в которой чудеса столь повседневны, что на них даже не обращают внимания. Клан Буэндиа порождает святых и грешников, революционеров, героев и предателей, лихих авантюристов – и женщин, слишком прекрасных для обычной жизни. В нем кипят необычайные страсти – и происходят невероятные события.",35,/bookshop/img/products/sto-let-odinochestva.jpg
70,Любовь во время чумы,1985,978-5-17-110490-0,3,763,51,"Главный герой истории Флорентино Ариса – воплощает собой истинно любящего и преданного человека. Такого, который способен ждать свою возлюбленную до самого конца…
И он дождется. А символом их счастья – любви на самом закате жизни станет корабль, который не сможет причалить ни к одному берегу.",35,/bookshop/img/products/lyubov-vo-vremya-chumy.jpg
71,Хроника объявленной смерти,1981,978-5-17-110491-7,3,518,2,"Судьба, которой нельзя избежать. Рок, довлеющий над человеческой жизнью. Убийство, которое не должно было произойти… но произошло. Человек обречен на смерть – и все вокруг знают, что ему предстоит умереть.
Никто не хочет этой смерти – и, прежде всего, сами будущие убийцы. Они делают все, чтобы их остановили. Но… ход событий уже не повернуть вспять.
Эта повесть легла в основу одноименного фильма с Рупертом Эвереттом в главной роли.",35,/bookshop/img/products/khronika-obyavlennoi-smerti.jpg
72,Имя розы,1980,978-5-17-110492-4,4,103,35,"""Имя розы"" - книга с загадкой. В начале ХIV века, вскоре после того, как Данте сочинил ""Божественную комедию"", в сердце Европы, в бенедиктинском монастыре обнаруживаются убитые. Льется кровь, разверзаются сферы небес. Череда преступлений воспроизводит не английскую считалочку, а провозвестия Апокалипсиса. Сыщик, конечно, англичанин. Он напоминает Шерлока Холмса, а его юный ученик - доктора Ватсона. В жесткой конструкции детектива находится место и ярким фактам истории Средневековья, и перекличкам с историей ХХ века, и рассказам о религиозных конфликтах и бунтах, и трогательной повести о любви, и множеству новых загадок, которые мы, читатели, торопимся разрешить, но хитрый автор неизменно обыгрывает нас... Вплоть до парадоксального и жуткого финала.",36,/bookshop/img/products/imya-rozy.jpg
73,Маятник Фуко,1988,978-5-17-110493-1,4,236,73,"На этих страницах взаимодействуют редакторы миланского издательства, рыцари-храмовники, жрецы вуду и антифашисты-партизаны. Рассказано и о легендарных тамплиерах, о тайных хозяевах мира, но только чтоб напомнить: история достоверна тогда, когда ее основа - неоспоримый документ. Все остальное - игра. Игра, которая бывает опасной.",36,/bookshop/img/products/maiatnik-fuko.jpg
74,Остров накануне,1994,978-5-17-110494-8,4,427,35,"Это бурная повесть о жизни и смерти с героем, напоминающим Робинзона Крузо, только выброшенным не на необитаемый остров, а на необитаемый корабль. Борьба его за выживание поэтична, книга наполнена образами из великой живописи, музыки, литературы, в ней полно сюрпризов для догадливых читателей. Необычные и сильные характеры дартаньяновского времени, грустный смех носатого Сирано и философия Декарта — все в одном сюжете, напоминающем новомодный компьютерный квест.",36,/bookshop/img/products/ostrov-nakanune.jpg
75,Тень ветра,2001,978-5-17-110495-5,3,679,26,"Роман, который заставляет читателя погрузиться в почти мистический мир Барселоны и перемещает его в совершенно иную систему координат. Читателю предстоит вместе с главным героем встретить зловещих незнакомцев, понять и полюбить прекрасных и загадочных женщин, бродить по мрачным лабиринтам прошлого, и главное — раскрыть тайну книги, которая непостижимым образом изменяет жизнь тех, кто к ней прикасается.",37,/bookshop/img/products/ten-vetra.jpg
76,Игра ангела,2008,978-5-17-110496-2,3,819,17,"Тайна Барселоны – города, в котором возможно все…
Тайна Давида – молодого журналиста, сумевшего уйти от карающего меча судьбы…
Тайна Книги, у которой есть начало, но нет и, возможно, не будет финала…
Светлый, прозрачный, полный загадок роман-лабиринт. Роман, который можно читать и перечитывать, не уставая восхищаться переплетениями и поворотами сюжета, и открывая в нем все новые и новые глубины.",37,/bookshop/img/products/igra-angela.jpg
77,Лабиринт призраков,2016,978-5-17-110497-9,3,491,76,"Загадка исчезновения всемогущего и зловещего министра Маурисио Вальса...
Загадка далекого прошлого молодой сотрудницы секретной службы Алисии Грис, расследующей его исчезновение…
И, главное, загадка книг, порожденных гениальным воображением их автора – мрачных и причудливых произведений, в которых прекрасная Барселона обретает черты инфернального королевства, управляемого темными безжалостными силами.",37,/bookshop/img/products/labirint-prizrakov.jpg
78,Шантарам,2003,978-5-17-110498-6,4,559,66,"Эта преломленная в художественной форме исповедь человека, который сумел выбраться из бездны и уцелеть, протаранила все списки бестселлеров и заслужила восторженные сравнения с произведениями лучших писателей нового времени, от Мелвилла до Хемингуэя. Подобно автору, герой этого романа много лет скрывался от закона. Лишенный после развода с женой родительских прав, он пристрастился к наркотикам, совершил ряд ограблений и был приговорен австралийским судом к девятнадцати годам заключения. Бежав на второй год из тюрьмы строгого режима, он добрался до Бомбея, где был фальшивомонетчиком и контрабандистом, торговал оружием и участвовал в разборках индийской мафии, а также нашел свою настоящую любовь, чтобы вновь потерять ее, чтобы снова найти.",38,/bookshop/img/products/shantaram.jpg
79,Триумфальная арка,1945,978-5-17-110499-3,3,719,48,"«Триумфальная арка» – пронзительная история любви всему наперекор, любви, приносящей боль, но и дарующей бесконечную радость.
Место действия – Париж накануне Второй мировой войны. Герой – беженец из Германии, без документов, скрывающийся и от французов, и от нацистов, хирург, спасающий человеческие жизни. Героиня – итальянская актриса, окруженная поклонниками, вспыльчивая, как все артисты, прекрасная и неотразимая.
И время, когда влюбленным довелось встретиться, и город, пронизанный ощущением надвигающейся катастрофы, становятся героями этого романа.",28,/bookshop/img/products/triumfalnaya-arka.jpg
80,Черный обелиск,1956,978-5-17-110500-6,3,671,64,"Сложные годы после Первой мировой войны, провинциальный немецкий городок, герой работает в фирме по продаже надгробий… Но денег не хватает, в стране чудовищная инфляция, и он подрабатывает игрой на органе в часовне при больнице. Свою любовь он встречает именно там, в психиатрическом отделении.",28,/bookshop/img/products/chernyi-obelisk.jpg
81,Жизнь взаймы,1959,978-5-17-110501-3,3,810,79,"«Жизнь взаймы» — это жизнь, которую герои отвоевывают у смерти. Когда терять уже нечего, когда один стоит на краю гибели, так эту жизнь и не узнав, а другому эта треклятая жизнь стала невыносима.
И как всегда у Ремарка, только любовь и дружба остаются незыблемыми. Только в них можно найти точку опоры.",28,/bookshop/img/products/zhizn-vzaimy.jpg
82,Портрет художника в юности,1916,978-5-17-110502-0,3,152,24,"В романе «Портрет художника в юности» впервые использованы новаторские формы повествования. Действительность увидена здесь изнутри сознания героя, через его внутренний монолог, ощущения и мысли. В центре романа — размышление о вечном одиночестве художника, о том, как важно отстаивать свою индивидуальность, независимость своего внутреннего мира.",19,/bookshop/img/products/portret-hudozhnika-v-yunosti.jpg
83,Дублинцы,1914,978-5-17-110503-7,3,412,58,"Сборник психологически тонких рассказов «Дублинцы» — первое зрелое произведение Джойса. «Моим намерением, — писал Джойс, — было написать главу из духовной истории моей страны, и я выбрал местом действия Дублин, поскольку, с моей точки зрения, именно этот город является центром паралича». Паралич для Джойса — это символ ненавистных ему пороков современной ирландской жизни: косности, низкопоклонства, коррупции, культурной отсталости и бездуховности.",19,/bookshop/img/products/dublintsy.jpg
84,Миссис Дэллоуэй,1925,978-5-17-110504-4,3,684,90,"На поверхности в «Миссис Дэллоуэй» происходит очень немногое - немолодая светская дама готовится к приему гостей, мужчина, который когда-то в юности любил ее, возвращается в Лондон после долгой отлучки, молодой ветеран Первой мировой все глубже погружается в черную трясину «военного синдрома». Однако содержание романа далеко не ограничивается ни его сюжетом, ни даже блистательностью изощренной формы, - здесь важно не то, что персонажи говорят или делают, а то, что при этом думают и чувствуют.",39,/bookshop/img/products/missis-dellouei.jpg
85,На маяк,1927,978-5-17-110505-1,3,976,94,"Изысканный роман, в котором смешиваются и переплетаются времена действия, а лето, проведенное состоятельным семейством Рэмзи на острове Скай оказывается своеобразной британской «хроникой утраченного времени», — хрупкого, почти идиллического времени, обреченному на скорое разрушение Первой мировой войной.
Вырастут дети, — кто-то уцелеет и повзрослеет, кто-то сложит голову на полях сражений. Забудутся мелкие неудачи и обиды. Будет заброшен старый дом, зарастет сад. Но воплотится ли в жизнь хоть для кого-то из детей Рэмзи мечта о поездке на далекий маяк?",39,/bookshop/img/products/na-mayak.jpg
86,Орландо,1928,978-5-17-110506-8,3,365,30,"«Орландо» — роман, разрушающий ограничения жанра, времени и самоопределения человека. Необыкновенный герой Вулф преодолевает разные препятствия, сложности человеческих эмоций, одержимость общества конформизмом — начиная с елизаветинской Англии и заканчивая в 1928 году, при этом оставаясь в возрасте 36 лет. Фантастическая история Орландо, нестареющего героя, охватывающая триста пятьдесят лет, на десятилетия опередила своё время.",39,/bookshop/img/products/orlando.jpg
87,Превращение,1915,978-5-17-110507-5,3,104,4,"В сборник вошли наиболее известные «малые» произведения Кафки разных лет. Здесь и так называемые кафкианские кошмары – «Превращение», «В исправительной колонии», изящные притчи, сатирические рассказы и миниатюры, а также дневниковая проза.",40,/bookshop/img/products/prevrashchenie.jpg
88,Процесс,1925,978-5-17-110508-2,3,354,38,"Йозеф К. — рациональный герой среди абсурдного общества. Его ничем не примечательная, даже в чем-то банальная жизнь шла своим чередом, пока его не известили о том, что против него начат процесс...
Абсурдность происходящего с К. пугает именно своей приземленной, холодной обыденностью, повседневностью и даже странной логичностью творящегося с героем ужаса, противостоять которому он не в силах.
Где судья, которого он ни разу не видел? Где высокий суд, куда он так и не попал?
Он виноват просто потому, что каждый человек в этой жизни может быть в чем-то виноват...
Страшная и нелепо смешная атмосфера ""Процесса"" потрясающе точно передана Орсоном Уэллсом в его знаменитой экранизации с Энтони Перкинсом, Жанной Моро и Роми Шнайдер в главных ролях.",40,/bookshop/img/products/process.jpg
89,Замок,1926,978-5-17-110509-9,3,477,74,"Сюжет ""Замка"" абсурден, но в то же время правдоподобен: в некую Деревню приезжает землемер К. и пытается попасть в Замок, куда его не пускают. Сложная система бюрократии запутывается в клубок, распутать который нет никакой возможности, а значит, нет возможности попасть в Замок, какими бы окольными путями ты ни шел. Но сатира на бюрократическую систему — лишь один из подтекстов романа.",40,/bookshop/img/products/zamok.jpg
90,Степной волк,1927,978-5-17-110510-5,3,686,86,"«Степной волк» – один из самых главных романов XX века, впервые опубликованный в 1927 году. Это и философская притча, и вместе с тем глубокое исследование психологии человека, тщетно пытающегося найти и обрести собственное ""Я"", постоянно балансирующего на стыке животного и человеческого начал.
Это история любви, которая ведет к неожиданной трагической развязке, это и политический, социальный роман, в котором герой выступает как яростный критик существующего мещанства.",41,/bookshop/img/products/stepnoi-volk.jpg
91,Игра в бисер,1943,978-5-17-110511-2,3,922,85,"Перед вами — книга, без которой немыслима ВСЯ культура постмодернизма Европы — в литературе, в кино, в театре. Что это — гениальный авангардистский роман, стилизованный под философию сюрреализма, или гениальное философское эссе, стили-зованное под сюрреалистический роман? Пожалуй, ТЕПЕРЬ это и не важно. Важно одно — идут годы и десятилетия, а изысканной, болезненной и эзотеричной ""игре в бисер"" по-прежнему нет конца. Ибо такова игра, в которую играют лучшие из людей.",41,/bookshop/img/products/igra-v-biser.jpg
92,Сиддхартха,1922,978-5-17-110512-9,3,848,68,"«Сиддхартха» — жемчужина прозы Германа Гессе, на страницах которой нашли свое отражение путешествия писателя по Индии, а также его интерес к восточным религиям.
Местом действия является Индия времен Сиддхартхи Гаутамы — основателя одной из наиболее глубоких и мудрых религий человечества — буддизма. В этой небольшой книге Гессе удалось объяснить европейцам ее суть, создать идеальную систему — некий свод взаимосвязанных правил — как нужно жить, как следует исправлять свои ошибки, как найти свое истинное «я».",41,/bookshop/img/products/siddkhartha.jpg
93,Невыносимая лёгкость бытия,1984,978-5-17-110513-6,3,920,94,"«Невыносимая легкость бытия» — самый знаменитый роман Милана Кундеры, которым зачитываются все новые и новые поколения читателей, открывающие для себя вершины литературы XX века. Книга Кундеры о любви и непростых человеческих отношениях, о трагическом периоде истории и вместе с тем это глубоко философская вещь. Автор пишет о непримиримой двойственности тела и души, о лабиринте возможностей, по которому блуждают герои, проживая свою единственную жизнь.",42,/bookshop/img/products/nevy-nosimaya-legkost-bytiya.jpg
94,Шутка,1967,978-5-17-110514-3,3,261,70,"Этот роман — история любви и мести, в основе которой лежит легкомысленная шутливая открытка, отправленная молодым парнем своей возлюбленной. Этой открытке суждено было не только разрушить несколько жизней, но и послужить важнейшим связующим звеном между прошлым и будущим.",42,/bookshop/img/products/shutka.jpg
95,Бессмертие,1990,978-5-17-110515-0,3,309,9,"Здесь Гёте беседует с Хемингуэем; Беттина фон Арним рассказывает о неземном чувстве к великому немцу; двадцать лет прожившая в счастливом браке женщина по имени Аньес понимает, что после смерти хотела бы остаться в одиночестве; пожилая дама в бассейне кокетливым жестом юной прекрасной женщины машет рукой инструктору по плаванию — и за всем этим сквозь время и пространство наблюдает автор. Подобно тому как роман Флобера рождается из персонажа Эммы Бовари, из образа Аньес вырастает «Бессмертие» Кундеры, ведь бессмертие и есть главное и неотъемлемое свойство человеческой души.",42,/bookshop/img/products/bessmertie.jpg
96,Пена дней,1947,978-5-17-110516-7,3,540,26,"Увлекательный, фантасмагорический, феерический роман-загадка и сегодня печатается во всем мире миллионными тиражами. Неслучайно Ф.Бегбедер поставил его в первую десятку своего мирового литературного хит-парада.",43,/bookshop/img/products/pena-dnei.jpg
97,Сердце тьмы,1899,978-5-17-110517-4,3,689,77,"Молодой капитан Марлоу плывет по реке Конго. Плывет через дикие африканские джунгли, полные опасностей и жестокостей. Плывет к своей цели — маленькой фактории в темных зарослях, превращенной таинственным скупщиком слоновой кости Куртцем в мрачное и загадочное царство ужаса.",44,/bookshop/img/products/serdtce-tmy.jpg
98,Ностромо,1904,978-5-17-110518-1,3,158,34,"В романе выдающегося английского писателя Джозефа Конрада ""Ностромо"" действие происходит в условной, вымышленной стране, на серебряных рудниках. Занимательный сюжет, глубокий психологизм, яркие характеры, сочувствие автора простым людям - все это позволяет отнести роман к выдающимся произведениям мировой литературы.",44,/bookshop/img/products/nostromo.jpg
99,Лорд Джим,1900,978-5-17-110519-8,3,803,71,"Во время второго своего рейса молодой, только-только получивший лицензию штурман-англичанин невольно совершил тяжкое должностное преступление, едва не стоившее жизни пассажирам судна. Последовал суд, позор, остракизм и изгнание из общества...
Человека, отринутого цивилизованным миром, как и многих таких же до него, принял и приютил Восток. Там, в малазийских диких джунглях у реки Патусан, он, прозванный в народе Лордом Джимом, обрел дом и семью, друзей и славу. Но однажды нападение пиратов под командованием умного и жестокого капитана Брауна поставило Лорда Джима перед трудным моральным выбором.",44,/bookshop/img/products/lord-dzhim.jpg
